Bug ID,Bug Fix Commit Hash,Date of Commit
CXF-7179,c87613b800a5b2de25d861c3c74a0fb7dcf60862,2017-01-24T13:18:35+08:00
CXF-7174,de9c7ecd7a4d205aa26d893889235468797e87bb,2016-12-12T10:03:39+00:00
CXF-1872,140239d383d9d654a8fbf531bbd037e2a3a29fdb,2008-10-16T07:15:46+00:00
CXF-7178,a9c0a173a81e7e4a490de2bbb60baf596399087a,2017-05-03T15:21:45+02:00
CXF-1864,2075aad042c9843df4990c770a771713fa25b48d,2008-10-14T17:19:29+00:00
CXF-7185,8b5ecaeecd258334f0342f3267bbce856b88c6a8,2017-01-26T12:57:21-05:00
CXF-1882,5e788618d459e75cef536b03f47d7b57a9938397,2008-10-22T14:30:41+00:00
CXF-7183,1e89d332a3f8b3b4495f1d17d8af8a4bc0396560,2016-12-15T13:54:42+01:00
CXF-7183,0344b6bc0d1e61a3d3b5194f5ae3ebcdf62e8d56,2016-12-15T10:21:03+01:00
CXF-1880,5bfdcd993524a43455792510dd0a166db9758b5e,2009-06-08T19:16:35+00:00
CXF-7189,12ca5af84d4e3f2652fba24fbd4ed539279d4f7d,2016-12-21T11:44:36+00:00
CXF-7186,9263c72e29ce5169af9f9393bc1e391f0e8d2f64,2017-03-30T10:27:13-04:00
CXF-7187,10d34e1a812ab2a709376f008c738de68c8720cf,2017-04-04T12:31:36-04:00
CXF-4901,e2077e5b8a1d7e7d26a77afc1044f571d08f59a5,2013-03-19T11:25:57+00:00
CXF-4901,8ed5cafe27c6ba7e10ceaf205266e63f58ab429f,2013-03-18T15:37:24+00:00
CXF-4904,f05ca23766903308fff2bc45533e23934489dae3,2013-03-20T10:34:52+00:00
CXF-4904,16ac7f12b18b52a3b0054a46928d51c840af1178,2013-03-20T10:34:44+00:00
CXF-4904,c5c1104c103ac9fb5726b5f9021e75da5c73b32b,2013-03-19T17:30:32+00:00
CXF-4904,9fadc0adc8ab0eb754d13c8c9e0c570aa38ad5db,2013-03-19T16:45:39+00:00
CXF-4906,71aa117e76ef25685ca9b199468f2bf8205f91a5,2013-03-20T11:42:05+00:00
CXF-4906,19aff2d79a1f4dd6e3baee0192ab35b2988ce1a6,2013-03-20T06:25:04+00:00
CXF-4920,ced1a3d386c718fd888742ec43d38ba3cb4e7b0c,2013-03-27T09:00:28+00:00
CXF-1895,553172edd7a45177b01ce00ac20224d88b89f0c3,2009-01-22T20:04:23+00:00
CXF-1890,24f0794e18aed721b910f6b66469abf588c9a805,2008-10-28T12:16:31+00:00
CXF-7198,aa5cb3f487fce03a0c069ae4bd33fae82be1e8b3,2016-12-29T12:54:49+00:00
CXF-7198,03cdee74d8f41079bf0a1e06eecc6a993109fba4,2016-12-29T10:22:40+08:00
CXF-4918,720b7dea454c1d250ddd89845a3eda35bc1bd40c,2013-03-26T19:53:53+00:00
CXF-4919,f0939c91e9adaee10baac0b8960135b96e35843c,2013-04-30T15:23:40+00:00
CXF-1889,52493ca73b73e3669f5e65be831b9cf4490347b9,2009-01-22T22:12:41+00:00
CXF-4910,80e89da70ac57017afaf712d2559d21a43e0b66a,2014-04-14T15:39:09+08:00
CXF-4910,d71c7065acaa5f782d14ac4c0747214e01dada7c,2014-03-19T11:21:44+08:00
CXF-4910,37e455e3c6f6986099fb05903a25daec8dd9a75b,2014-03-06T17:56:34+08:00
CXF-4912,c67cf4f4b9ccc4464193d863c29e2cc165edb2c4,2013-03-26T09:29:24+00:00
CXF-4912,3ea4bab7b71367c2ac8c32bb7a0e43cb6ea76a11,2013-03-22T11:25:35+00:00
CXF-4914,8751ed15c37e91e95dee53b992aa3a789816a8c3,2013-03-25T15:46:43+00:00
CXF-4929,ec8393ef9cfde228430def55a185914ba07d8024,2013-03-28T15:16:31+00:00
CXF-4929,47fff36aeff60d63ff6271317583d334aa1587d9,2013-03-27T14:46:58+00:00
CXF-1898,f136d5f4e31ddcb43084f7092808687874fc8447,2008-11-04T05:19:26+00:00
CXF-4922,46192d68f0d906cdbbd8f045417e20e7027f8349,2013-03-25T14:46:53+00:00
CXF-4927,1c5deac261d13e7f2baf5a13fd8379992ed6b48a,2013-03-27T09:04:57+00:00
CXF-4940,07a86f15fda71377d81dc08e08dcbf343e652f80,2013-04-07T12:32:59+00:00
CXF-4940,20ae386cd6579a0c5ada7d3b1e9f1821c2519058,2013-04-07T07:42:23+00:00
CXF-802,9a2f1212cd7031c8447ae4294c4c4ccc7322d9e5,2019-05-20T20:54:39-04:00
CXF-802,1cc03b9b70bc509d8f8c631563c3964e56e30621,2019-05-06T14:10:32-04:00
CXF-802,0ac8f73cd3cc1fb56a3a510fb7c32a458312455d,2019-04-29T12:28:15+01:00
CXF-802,a2c3ac7231ef1c71b105f43922016b7167f9ca5b,2019-04-29T11:59:01+02:00
CXF-802,427c7d40f35427a0866b6b9989d50a34fd10482b,2019-04-21T20:47:34-04:00
CXF-802,57f8c554b04af4e06b4e97bb349cbb8adeeb7acc,2019-04-20T10:35:21-04:00
CXF-802,b4dfabf84e2cee0d6735e6a13fa5b933de0a44c3,2019-04-19T10:04:14+01:00
CXF-4941,4df60b3f1f7ed60e66db251fb078ba668cb0433d,2013-04-03T17:10:12+00:00
CXF-4941,7595de6342798a9770bcaa0f3776e36006ffeb43,2013-04-03T16:44:41+00:00
CXF-3611,0a861af57414125f0dea653dafbba0676a0d2dd1,2011-09-14T17:43:57+00:00
CXF-800,15982b9496d0909ffa37e895a48c8428464196c9,2019-04-04T16:16:21-04:00
CXF-800,91244e84e02c7d01410b347bb14efca27d2ec2b1,2019-03-28T11:08:35+00:00
CXF-800,f702cfb14a18396418fd1c5ab623a2f619213a90,2019-03-28T10:32:57+08:00
CXF-800,ca3f8a54ea7718dc8f830fcafb9216a75cb93379,2019-03-25T12:38:37+00:00
CXF-800,02662d7bece8384b265705d4704734fa55022144,2019-03-25T12:33:40+00:00
CXF-3609,ceee36851c3b56525c137aaf0c8fc4353244363b,2011-06-22T21:35:07+00:00
CXF-4932,33cb37a0e9694734e37198161aad793305793c4c,2013-03-28T08:39:05+00:00
CXF-4934,ebbb056a41136e2de99ac5219cf69d5c3e579125,2013-09-27T16:17:01+00:00
CXF-3605,cb003049b4cee722febd7c74e65479502bfea1bc,2011-06-20T15:23:27+00:00
CXF-3606,60172bd6b29fb1b1dd9856857a63e7c8dc9cf216,2011-06-20T16:15:23+00:00
CXF-4938,0231e162d823ddd7949ed95f221f343cb91bdfa9,2013-04-04T09:40:38+00:00
CXF-3608,59309896e3b2c1976679b4113fd0c7716f3a4307,2011-06-21T11:27:59+00:00
CXF-810,5c7e20e8a6bf7fa5bc2f160b4e3497c73b66af39,2019-08-28T12:28:24+01:00
CXF-4951,c371427ec99459ef9bafce27531f3715f47a0622,2013-04-08T13:51:05+00:00
CXF-3620,3005467eb8165ccc33e78d6ce1d6163992d2be08,2011-08-16T10:05:38+00:00
CXF-4953,ae9468de2c91817cdfd0046ea22509dc6e47c8a7,2013-05-07T17:03:11+00:00
CXF-4953,26c10829e48bb274100d4e160ccafa2a2768af74,2013-04-18T13:14:52+00:00
CXF-807,9ab0d2766695a2ba9f1ed1ca042b5d2a42eb4fd9,2019-07-19T11:08:02+01:00
CXF-807,6c5dea29d4415b3de0836fe5e10cac8964271afc,2019-07-17T12:56:51+01:00
CXF-807,1a63729aacd78c87c1fd6c1a7d7b7eddab856c46,2019-07-15T17:45:20+01:00
CXF-807,d520059ce1d04448fb2354966a7e16b39c3fcbda,2019-07-15T17:32:38+01:00
CXF-807,d99a1d8023e4827ed3ad0da61291f0f3089eb5bf,2019-07-15T13:36:15+01:00
CXF-807,7f2b714981d15869da0991cefb4a478ef27866f2,2019-07-11T14:24:02-03:00
CXF-807,5fe1123ec0c43c5345e76731f72dd802cae4c03d,2019-07-09T11:39:11-04:00
CXF-807,356e5765ddca40aba7673fab058de100501366ba,2019-07-09T11:26:57+01:00
